cust_name,review_date,review_title,review_description,range_used,review_score
Agnes,18/10/2022,Tres bon.materiel,Tres bon.materiel,Utilise ce produit depuis 1 semaine ou moins,5
Bernard,18/10/2022,Bon matériel,Bon matériel,Utilise ce produit depuis 1 semaine ou moins,5
Vincent,17/10/2022,Très bien,Très bien,Utilise ce produit depuis 1 semaine ou moins,5
Marion,16/10/2022,Bon produit,"Bien pour les débutants
Assez de combinaisons de poids possible, mallette de rangement pratique.
RAS",Utilise ce produit depuis 2 à 8 semaines,5
Sabrina,16/10/2022,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Hasni,16/10/2022,Correct,"Le revêtement noir ne tient pas dommage, un revêtement plastique ou caoutchouc aurait été préférable.",Utilise ce produit depuis 3 à 6 mois,5
Jessica,14/10/2022,Impossible,Impossible,Utilise ce produit depuis 2 à 8 semaines,5
Pascal,13/10/2022,Très polyvalent pour démarrer la muscu,"le système à vis est top.
Seul reproche, ils manquent des poids de 500 gr",Utilise ce produit depuis 7 à 12 mois,5
Philippe,12/10/2022,Très bien,Très bien,Utilise ce produit depuis 3 à 6 mois,5
Luc,10/10/2022,Super solide,"Boîte de rangement super utile pour tout déplacer.
Les disques de poids sont très solides.",Utilise ce produit depuis 3 à 6 mois,5
Lys-Laine,10/10/2022,Rien à dire de…,Rien à dire de particulier,Utilise ce produit depuis 2 à 8 semaines,5
Fabrice,09/10/2022,Pratique pour pratiquer un…,"Pratique pour pratiquer un entretien quotidien léger à son domicile entre 2 séances en salle de muscu.
Le seul bémol réside dans les ""vis"" de blocage des poids qui parfois se desserrent.",Utilise ce produit depuis 1 semaine ou moins,5
Christophe,07/10/2022,Un kit accessible au…,Un kit accessible au niveau tarif et assez polyvalent,Utilise ce produit depuis 2 à 8 semaines,4
Gerardine,06/10/2022,Bon kit pour faire…,Bon kit pour faire son sport à domicile,Utilise ce produit depuis 1 semaine ou moins,5
Jean Luc,06/10/2022,malette idéal pour la musculation,"cette malette d'altère au total de 20kg
C'est idéal pour travailler les muscles",Utilise ce produit depuis Plus de 2 ans,5
Ludovic,01/10/2022,Très bon kit,Très bon kit complet avec valise de rangement très pratique,Utilise ce produit depuis 1 semaine ou moins,5
Fabien,29/09/2022,tres bonne petite mallette…,tres bonne petite mallette de travail pour débuter,Utilise ce produit depuis 7 à 12 mois,4
Jessy,28/09/2022,Bon produit excellent qualité,Bon produit excellent qualité,Utilise ce produit depuis 1 semaine ou moins,5
Mylene,25/09/2022,Bon rapport qualité,Bon rapport qualité,Utilise ce produit depuis 1 semaine ou moins,5
Frederic,25/09/2022,Très bon achat. Complet…,Très bon achat. Complet facile à monter et solide,Utilise ce produit depuis 1 semaine ou moins,5
Céline,24/09/2022,Très bien et très…,Très bien et très pratique. Usage régulier,Utilise ce produit depuis 2 à 8 semaines,5
Francois-Xavier,24/09/2022,Pas mal mais les…,Pas mal mais les cales se devissent lors des exercices et les poids bougent ensuite,Utilise ce produit depuis 3 à 6 mois,5
Celine,23/09/2022,Mon neveu est satisfait,Mon neveu est satisfait,Utilise ce produit depuis 7 à 12 mois,5
Julie,23/09/2022,Parfait,Parfait,Utilise ce produit depuis 1 semaine ou moins,5
Sebastien,23/09/2022,Bien conçue et une…,"Bien conçue et une mallette de rangement, et poids utilisable sur d'autre barre si on utilise des clips",Utilise ce produit depuis 1 semaine ou moins,5
IGNACE,22/09/2022,La malette est bien…,"La malette est bien pratique, le problème c'est que ça se dévisse pendant la pratique.",Utilise ce produit depuis 2 à 8 semaines,3
Virginie,21/09/2022,Fonctionnel,Fonctionnel,Utilise ce produit depuis 2 à 8 semaines,5
Thibaut,21/09/2022,Super,Super produit rapport qualité prix top,Utilise ce produit depuis 2 à 8 semaines,5
Veronique,20/09/2022,super produit,produit très complet,Utilise ce produit depuis 2 à 8 semaines,5
Nadege,20/09/2022,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Bertrand,20/09/2022,"Bon produit, pour un…","Bon produit, pour un prix très concurrentiel.",Utilise ce produit depuis 2 à 8 semaines,5
Jacky,17/09/2022,dommage qu'il n'y ai…,dommage qu'il n'y ai pas une clée pour le serrage sinon Tb qt m/m,Utilise ce produit depuis 7 à 12 mois,5
Patrick,17/09/2022,très bon kit pour…,très bon kit pour débuté,Utilise ce produit depuis 1 semaine ou moins,4
frederic,17/09/2022,Excellent haltère,Excellent haltère,Utilise ce produit depuis 1 semaine ou moins,5
Christophe,16/09/2022,parfait pour débutants,parfait pour débutants,Utilise ce produit depuis 7 à 12 mois,4
Odile,16/09/2022,Très bon kit,Très bon kit,Utilise ce produit depuis 2 à 8 semaines,5
Fabrice,16/09/2022,comment perdre de l'embonpoint...,"Acheté pour réduire les volumes incongrus !
associé avec Décat'Coach - les effets sont immédiats !",Utilise ce produit depuis 1 semaine ou moins,4
Sophie,15/09/2022,La valise de rangement…,"La valise de rangement est pratique. 
Le matériel est bien.",Utilise ce produit depuis 2 à 8 semaines,5
Benjamin,14/09/2022,Musculation,Très bien pour la maison !,Utilise ce produit depuis 2 à 8 semaines,5
Christian,13/09/2022,Les joints ont tendance…,"Les joints ont tendance à ne pas rester en place un petit point de colle serait le bien venu .
Sinon impeccable",Utilise ce produit depuis 2 à 8 semaines,4
Sylvain,13/09/2022,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,3
MARION,13/09/2022,Musculation de plusieurs parties…,"Musculation de plusieurs parties du corps 
Pour le prix , 2 poids en plus de 2 kgs auraient été appréciables",Utilise ce produit depuis 2 à 8 semaines,5
Helder Michel,12/09/2022,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,3
Arnaud,10/09/2022,"Comme d'habitude avec Decathlon,…","Comme d'habitude avec Decathlon, tout est parfait !",Utilise ce produit depuis 2 à 8 semaines,5
Lucie,10/09/2022,Cool,"Merci Decathlon, très bon produit",Utilise ce produit depuis 7 à 12 mois,5
Ludovic,09/09/2022,Bon produit,Bon produit,Utilise ce produit depuis 7 à 12 mois,4
David,09/09/2022,Efficace,Efficace,Utilise ce produit depuis 2 à 8 semaines,5
David,08/09/2022,Fait le taf !,"Impeccable, facile d'utilisation, poids idéal pour l'utilisation que j'en ai. Un bon achat.

On pourrait juste émettre des doutes sur la qualité de la boite de stockage (solidité globale, éléments qui tombent à l'ouverture si on n'y va pas tout doucement).

La répartition des poids pourrait être légèrement différente. Actuellement on peut faire 2, 4, 6, 8 ou 10 kg par haltère mais pas 3, 5, 7 ou 9. C'est juste un truc à savoir avant l'achat.",Utilise ce produit depuis 1 semaine ou moins,5
Marie Laure,07/09/2022,très bons produits et…,très bons produits et pratique à stocker je recommande,Utilise ce produit depuis 2 à 8 semaines,5
Loïc,07/09/2022,m'en suis servi que…,m'en suis servi que deux ou trois fois c mon fils qui les utilises il en est contant,Utilise ce produit depuis 3 à 6 mois,4
Gregory,04/09/2022,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Antoine,02/09/2022,Haltères,"Bonne livraison ! Une journée de retard mais rien de mal, Super produit! Je recommande",Utilise ce produit depuis 1 semaine ou moins,5
Jennifer,02/09/2022,Acheté en cadeau et…,Acheté en cadeau et il en est très satisfait,Utilise ce produit depuis 1 semaine ou moins,5
Mathieu,31/08/2022,Bon produit mais les…,"Bon produit mais les fixations à filetage, c'est un peu dépassé et peu pratique. Cordialement",Utilise ce produit depuis 2 à 8 semaines,4
Patricia,31/08/2022,Mon fils en est…,Mon fils en est ravi et le côté très pratique c'est que l'on peu les transportés partout,Utilise ce produit depuis 2 à 8 semaines,5
Anaïs,30/08/2022,Au top pour les…,"Au top pour les entraînements à la maison, pratique avec la malette de rangement.",Utilise ce produit depuis 2 à 8 semaines,5
Cedric,30/08/2022,Très bonnes haltères pour…,Très bonnes haltères pour commencer la musculation. Par contre le prix a vachement augmenté il me semble les avoir payés 40e il y a 2 où 3 ans. Je recommande tout de même. La valise permet d'y ranger votre matériel ce que je trouve très pratique au lieu de laisser traîner les poids au sol.,Utilise ce produit depuis 1 semaine ou moins,5
CHRISTOPHE,29/08/2022,Bon produit mais petit…,"Bon produit mais petit bémol car les écrous se desserrent pendant les exercices, sans bruit et rapidement. Les écrous disposent d’un joint d’un côté, dans le doute j’ai testé les deux côtés avec le même résultat…dommage",Utilise ce produit depuis 2 à 8 semaines,3
PASCAL,29/08/2022,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
Isabelle,29/08/2022,La palette de 20…,La palette de 20 kg est géniale : facile de rangement. Le système d’attache des disques est très facile et surtout très efficace . Merci au conseiller pour cette sélection,Utilise ce produit depuis 1 semaine ou moins,5
Diego,28/08/2022,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Michel,28/08/2022,Efficace,Efficace,Utilise ce produit depuis 1 semaine ou moins,3
Jennifer,28/08/2022,Bon produit. Au bout…,Bon produit. Au bout de quelques excercice les barres font mal aux mains. Prendre des gants pour éviter les blessures .,Utilise ce produit depuis 3 à 6 mois,4
Stephane,27/08/2022,Très bien pour un…,Très bien pour un jeune débutant.,Utilise ce produit depuis 7 à 12 mois,5
Christian,27/08/2022,dommage que c'est à…,"dommage que c'est à visser pour serrer les poids, beaucoup mieux et rapide par pince",Utilise ce produit depuis 1 semaine ou moins,4
Denis,26/08/2022,Excellent,Excellent,Utilise ce produit depuis 2 à 8 semaines,5
Johan,25/08/2022,Tres bon kit,Tres bon kit,Utilise ce produit depuis 2 à 8 semaines,5
David,25/08/2022,Non produit,Non produit,Utilise ce produit depuis 1 semaine ou moins,5
Philippe,24/08/2022,très bien,très bien pour débuter à la maison,Utilise ce produit depuis 2 à 8 semaines,5
Véronique,24/08/2022,Parfait,Parfait,Utilise ce produit depuis 7 à 12 mois,5
Chantal,22/08/2022,Ce qu'ils nous fallait,Ce qu'ils nous fallait,Utilise ce produit depuis 1 semaine ou moins,5
Estelle,22/08/2022,Parfait!,"Très utile pour faire des séries de musculation. La valise est super pour transporter le matériel en vacances ou autre sans prendre trop de place. Je conseille d’acheter en supplément des embouts en plastiques, il s’achète à l’unité, plus pratique et rapide que les écrous.",Utilise ce produit depuis 2 à 8 semaines,5
Vincent,22/08/2022,Idéal pour commencer,Idéal pour commencer,Utilise ce produit depuis 2 à 8 semaines,5
Julia,21/08/2022,Très bon produit,Très bon produit,Utilise ce produit depuis 1 semaine ou moins,5
Emilien,20/08/2022,Manque 2 poids de…,Manque 2 poids de 1kg,Utilise ce produit depuis 2 à 8 semaines,1
Aurélie,19/08/2022,Parfait et rangement pratique,Parfait et rangement pratique,Utilise ce produit depuis 2 à 8 semaines,5
Nathalie,18/08/2022,Bon rapport qualité prix,Bon rapport qualité prix,Utilise ce produit depuis 1 semaine ou moins,5
Alexandre,15/08/2022,Bon choix pour utiliser…,Bon choix pour utiliser l’appli coach musculation !,Utilise ce produit depuis 2 à 8 semaines,4
Joseph,15/08/2022,Les joints ont tendance…,Les joints ont tendance à partir des la 1 et utilisation sinon .Bon rapport qualité prix.,Utilise ce produit depuis 2 à 8 semaines,4
Alfonso,14/08/2022,Bon rapport qualité/prix,Me permet de réaliser des exercices chez moi en complément de la salle de sport,Utilise ce produit depuis 3 à 6 mois,5
Nordine,13/08/2022,Excellent produit pas trop…,Excellent produit pas trop cher,Utilise ce produit depuis 2 à 8 semaines,5
Damien,13/08/2022,Produit au top je…,Produit au top je recommande sauf un bémol les écrous de serrage qui se dévissent parfois en plein action…,Utilise ce produit depuis 2 à 8 semaines,4
Jacques,12/08/2022,Excellent produit polyvalent. Le…,Excellent produit polyvalent. Le meilleur rapport qualité prix du marché !,Utilise ce produit depuis 2 à 8 semaines,5
Matéo,10/08/2022,"Super kit pour débuter,…","Super kit pour débuter, après vous pouvez toujours acheter des poids pour augmenter le niveau",Utilise ce produit depuis 1 semaine ou moins,3
Thierry,09/08/2022,Pratique de le muscu…,"Pratique de le muscu à domicile, hypers pratiques..",Utilise ce produit depuis Plus de 2 ans,5
Patrick,08/08/2022,"Bon produit, simple et…","Bon produit, simple et pratique.",Utilise ce produit depuis 2 à 8 semaines,4
Clarence,07/08/2022,tres bon,sauf le système de serrage des barres qui est tres contraignant,Utilise ce produit depuis Plus de 2 ans,4
Fabrice,07/08/2022,Prix correct pour ce…,Prix correct pour ce kit haltères. Top,Utilise ce produit depuis 2 à 8 semaines,5
Gregory,06/08/2022,haltère,Très bon produit. Toujours des super produits chez décathlon,Utilise ce produit depuis 2 à 8 semaines,5
Thierry,06/08/2022,Permet de se muscler…,Permet de se muscler tranquillement,Utilise ce produit depuis 3 à 6 mois,5
KARIM,06/08/2022,Complet pour un debutant,Complet pour un debutant,Utilise ce produit depuis 7 à 12 mois,5
MARIE PIERRE,05/08/2022,Coffret idéal pour débuter,Coffret idéal pour débuter,Utilise ce produit depuis 7 à 12 mois,5
Elisabeth,05/08/2022,bon produit,bon produit,Utilise ce produit depuis 7 à 12 mois,5
Julie,05/08/2022,Parfait ! La mallette…,Parfait ! La mallette de rangement s'avère très utile.,Utilise ce produit depuis 3 à 6 mois,5
Jessica,05/08/2022,Facile d’utilisation très pratique,Facile d’utilisation très pratique,Utilise ce produit depuis 3 à 6 mois,5
Julie,05/08/2022,Kit très pratique à…,Kit très pratique à l’emploi et de bonne qualité cependant les bars et les vis ne tiennent pas lorsque l’on veut fermer la boîte.,Utilise ce produit depuis 2 à 8 semaines,4
Corinne,05/08/2022,Bon produit,Bon produit,Utilise ce produit depuis 7 à 12 mois,5
Sandra,04/08/2022,Tres difficile e de…,Tres difficile e de porter la mallette  du magasin a la voiture tres loud quand on est pas encore musclé,Utilise ce produit depuis 7 à 12 mois,5
Valérie,04/08/2022,Me convient parfaitement,Me convient parfaitement,Utilise ce produit depuis 3 à 6 mois,5
Reynald,04/08/2022,J'ai pu faire pas…,"J'ai pu faire pas mal d'exercice pour me remettre en forme avant d'aller n salle. Maintenant, les pois vont servir pour une barre d' 1m55",Utilise ce produit depuis 7 à 12 mois,5
Yannick,04/08/2022,parfait pour les compléments…,"parfait pour les compléments d'entrainement (ici triathlon)
attention les visses ne sont pas autobloquante / Favoriser les circlip",Utilise ce produit depuis 1 semaine ou moins,3
Andrea,01/08/2022,très bon produit,excellent pour home gym. Dommage que au bout des quelques mois d'utilisation les parties en gomme ce sont défait. A part cela est un très bon produit,Utilise ce produit depuis Plus d'un an,4
Honore,01/08/2022,MERCI,MERCI,Utilise ce produit depuis 2 à 8 semaines,5
Ronan,01/08/2022,Très bon produit,Très bon produit,Utilise ce produit depuis 2 à 8 semaines,5
